SVI   933.378  0.4414    1.690e9
ClI   1347.2396 0.1186    5.088e8
ArI   1066.660  0.06652   1.300e8
ArI   1048.2199 0.2441    4.940e8
CaI   4227.918  1.753     2.180e8
CaII  3934.777  0.6346    1.456e8
CaII  3969.591  0.3145    1.414e8
TiII  3384.740  0.3401    1.730e8
TiII  3242.929  0.1832    2.350e8
TiII  3230.131  0.05861   2.350e8
TiII  3073.877  0.1091    2.500e8
TiII  3067.245  0.04655   2.500e8
TiIII 1298.697  0.09057   6.266e8
CrII  2066.161  0.05150   1.636e8
CrII  2062.234  0.0780    1.646e8
CrII  2056.254  0.1050    1.660e8
MnII  2606.462  0.1927    2.648e8
MnII  2594.499  0.2710    2.685e8
MnII  2576.877  0.3508    2.741e8
MnII  1201.118  0.08809   5.702e8
MnII  1199.391  0.1059    4.911e8
MnII  1197.184  0.1566    5.670e8
FeI   3720.993  0.041190  2.000E8
FeI   3021.5189 0.10390   2.000E8
FeI   2967.765  0.043800  2.000E8
FeI   2719.833  0.119000  2.000E8
FeI   2523.608  0.279000  2.000E8
FeI   2501.886  0.049600  2.000E8
FeI   2484.021  0.557000  2.000E8
FeI   2463.392  0.053200  2.000E8
FeI   2167.453  0.150000  2.000E8
FeII* 2328.111  0.03176   2.70E+08
FeII* 2333.516  0.06917   2.62E+08
FeII* 2338.725  0.0925    2.70E+08
FeII* 2345.001  0.1575    2.70E+08
FeII* 2349.022  0.08239   2.62E+08
FeII* 2359.828  0.05727   2.62E+08
FeII* 2365.552  0.0495    2.68E+08
FeII* 2381.489  0.02857   2.68E+08
FeII* 2383.7884 0.005175  3.00E+08
FeII* 2389.3582 0.08249   3.07E+08
FeII* 2396.1497 0.01435   2.99E+08
FeII* 2396.3559 0.2673    3.09E+08
FeII* 2399.9728 0.1180    3.00E+08
FeII* 2405.164  0.02432   3.03E+08
FeII* 2405.6186 0.1958    3.07E+08
FeII* 2407.3942 0.1406    2.99E+08
FeII* 2411.2533 0.1941    3.00E+08
FeII* 2411.802  0.2084    3.03E+08
FeII* 2414.0450 0.1755    2.99E+08
FeII* 2599.1465 0.09929   2.75E+08
FeII* 2607.8664 0.1127    2.61E+08
FeII* 2612.6542 0.1114    2.72E+08
FeII* 2614.6051 0.1019    2.66E+08
FeII* 2618.3991 0.04486   2.75E+08
FeII* 2621.1912 0.00392   2.61E+08
