wave flux flux_err continuum
6643.357421875 301.40472412109375 12.805399894714355 291.56834836816415
6644.607421875 312.6998291015625 13.108161926269531 291.40530671027955
6645.857421875 293.4541931152344 12.875011444091797 291.2430116607575
6647.107421875 263.23773193359375 12.914497375488281 291.08147528691916
6648.357421875 301.8912048339844 13.060622215270996 290.9207096553291
6649.607421875 309.0946960449219 13.319649696350098 290.76072683301754
6650.857421875 285.5523681640625 13.13886833190918 290.6015388867236
6652.107421875 307.5576171875 13.143059730529785 290.4431578834774
6653.357421875 309.0572204589844 13.060409545898438 290.285595890251
6654.607421875 285.9886169433594 12.843060493469238 290.12886497360887
6655.857421875 237.8739776611328 12.721181869506836 289.97297720069764
6657.107421875 264.3240661621094 12.794940948486328 289.81794463819824
6658.357421875 273.2861328125 12.969874382019043 289.66377935319906
6659.607421875 293.0675964355469 13.189178466796875 289.51049341249745
6660.857421875 334.7593994140625 13.821480751037598 289.35809888271615
6662.107421875 280.4224853515625 13.404059410095215 289.20660783117637
6663.357421875 308.4656066894531 13.170731544494629 289.05603232450085
6664.607421875 316.85858154296875 13.011280059814453 288.90638442948693
6665.857421875 313.8794860839844 13.610477447509766 288.75767621328123
6667.107421875 316.1728515625 14.344868659973145 288.60991974256467
6668.357421875 303.5487060546875 13.775176048278809 288.463127084251
6669.607421875 277.47210693359375 12.894201278686523 288.31731030519586
6670.857421875 276.5559387207031 12.777847290039062 288.17248147242935
6672.107421875 289.4922790527344 12.885368347167969 288.02865265263245
6673.357421875 278.0978088378906 12.709545135498047 287.8858359126607
6674.607421875 277.3602600097656 12.657678604125977 287.7440433196607
6675.857421875 304.32025146484375 12.681035041809082 287.6032869402552
6677.107421875 364.34356689453125 12.99413776397705 287.4635788414744
6678.357421875 417.7438659667969 13.238981246948242 287.32493109011557
6679.607421875 442.9421691894531 13.3722505569458 287.18735575303435
6680.857421875 345.9671325683594 12.952535629272461 287.0508648973191
6682.107421875 313.3370666503906 12.766080856323242 286.9154705894762
6683.357421875 290.4706726074219 12.76309871673584 286.7811848966521
6684.607421875 270.4986572265625 12.791083335876465 286.6480198856443
6685.857421875 294.3005065917969 12.886064529418945 286.51598762342473
6687.107421875 274.0950622558594 12.609588623046875 286.3851001767325
6688.357421875 261.56475830078125 12.484790802001953 286.25536961248145
6689.607421875 300.47576904296875 12.677473068237305 286.1268079977599
6690.857421875 300.75579833984375 12.606964111328125 285.999427399016
6692.107421875 269.60870361328125 12.353706359863281 285.87323988362914
6693.357421875 266.4734802246094 12.278581619262695 285.74825751804747
6694.607421875 312.9554443359375 12.514281272888184 285.62449236935936
6695.857421875 308.7718811035156 12.624177932739258 285.5019565045368
6697.107421875 238.06436157226562 12.5878267288208 285.3806619900279
6698.357421875 269.09197998046875 13.229442596435547 285.26062089327024
6699.607421875 298.8380432128906 13.298541069030762 285.1418452808284
6700.857421875 274.5057373046875 12.748266220092773 285.0243472196744
6702.107421875 261.03076171875 12.632862091064453 284.9081387766637
6703.357421875 254.27099609375 12.962007522583008 284.7932320185937
6704.607421875 262.5613098144531 13.022180557250977 284.6796390124364
6705.857421875 277.3798522949219 12.675445556640625 284.5673718249309
6707.107421875 315.3763427734375 12.678369522094727 284.456442523282
6708.357421875 297.4203186035156 12.530041694641113 284.3468631739961
6709.607421875 296.6769714355469 12.538899421691895 284.2386458442197
6710.857421875 317.6266174316406 12.675286293029785 284.13180260080844
6712.107421875 277.0307312011719 12.31364917755127 284.0263455102686
6713.357421875 281.3876953125 12.350481986999512 283.9222866400378
6714.607421875 328.6127014160156 12.640823364257812 283.81963805662235
